3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
BOA,1210503002,Bonga shad,Ethmalose d'Afrique,Sábalo africano,NA,NA,Бонга,Ethmalosa fimbriata,(Bowdich 1825),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RRH,1210503101,Red-eye round herring,Shadine ronde,Sardineta canalera,NA,NA,NA,Etrumeus teres,(DeKay 1842),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
WRR,1210503104,Whitehead's round herring,Shadine de Angola,Sardina angoleña,NA,NA,NA,Etrumeus whiteheadi,Wongratana 1983,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HCC,1210503303,False herring,Harengule écailleux,Sardineta escamuda,NA,NA,NA,Harengula clupeola,(Cuvier 1829),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HCU,1210503304,Redear herring,Harengule camomille,Sardineta manzanillera,NA,NA,NA,Harengula humeralis,(Cuvier 1829),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HCT,1210503307,Pacific flatiron herring,Harengule du Pacifique,Sardineta plumilla,رنكة صغيرة للمحيط الهادئ,太平洋青鳞鱼,NA,Harengula thrissina,(Jordan & Gilbert 1882),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HCG,1210503308,Scaled herring,Harengule jagane,Sardineta jaguana,NA,NA,NA,Harengula jaguana,Poey 1865,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SAS,12105033XX,Scaled sardines,Harengules,Sardinetas,NA,NA,NA,Harengula spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CJL,1210503601,Dwarf round herring,Shadine pisquette,Sardineta canalerita,رَنكة دائريّة قَزَميَّة,宽带任氏鲱,NA,Jenkinsia lamprotaenia,(Gosse 1851),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CJS,1210503602,Florida round herring,NA,NA,NA,NA,NA,Jenkinsia stolifera,(Jordan & Gilbert 1884),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THP,1210504201,Pacific thread herring,Chardin du Pacifique,Machuelo hebra pinchagua,NA,NA,NA,Opisthonema libertate,(Günther 1867),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THA,1210504202,Atlantic thread herring,Chardin fil,Machuelo hebra atlántico,NA,NA,Мачуэла атлантическая,Opisthonema oglinum,(Lesueur 1818),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
